RD,R&M budget,capex_budget,recast_capex,Landscaping and Snow Removal,Supplies,Cleaning and Sanitation,Actuals Landscaping,Actuals Supplies,Actuals Cleaning
RD001,3504,4000,76783.33333,11637.5,1125,750,7290,495.34,1041.5
RD002,948,4000,0,0,1253.5356,11305,1447.45,813.46,5770
RD003,1896,4000,7600,10494.33333,1139.97,3745.833333,6650.41,1559.76,795.23
RD004,1704,6500,667,1080,2263.677031,10317.15,1143.47,2763.45,3973.4
RD005,1296,4000,0,4852.095009,5246.036812,5075.8125,6316.61,534.96,3775.5
RD006,1560,5000,0,2622.163786,3245,2493.75,3004.36,3105,471.34
RD007,3252,5000,0,5883.687266,4700.844207,1900,4780.29,5450,811.1
RD008,1800,5000,13250,600,0,0,0,2618.67,1212.7
RD009,2100,5000,1625,0,2652.584117,12017.5,1691.7,1532.25,8935
RD010,1896,5000,2499,2570.833333,1464.761087,12179.66052,850,7630.42,9146.1
RD011,3600,6500,8332,3420,4377.653333,3070,1130.62,2309.77,2945
RD012,3000,7500,1666,5773.968465,7221.375,1955.54,6798.25,2073.75,1297.86
RD013,2448,4000,541.6666667,3755.249144,10672.5,4731,3631.39,12621,1646.22
RD014,972,4000,2083.333333,745.8333333,0,0,400,8260.6,2236.54
RD015,2280,6500,20000,13271.5,1725,800,4560,1098.31,867.98
RD016,1380,4000,8000,8587.418575,3178.355362,5890,8091.21,4710,-1316.03
RD017,2100,5000,667,1580.486667,1450,2011.937307,1576.66,1000,10377.16
RD018,1020,4000,0,1721.666667,4866.854904,4906.216939,0,8297.93,1486.44
RD019,1500,5000,0,3090.55043,8257.5,1304.673333,1803.67,9000,1780.48
RD020,6392,5000,25250,11875,2025,850,6517.7,1108.38,0
RD021,2052,4000,0,3708.333333,2150.028234,1489,7705,1824.98,6585
RD022,1800,4000,0,41504.91753,3685,1377.5,42101.69,6825,1448.63
RD023,8496,6500,0,2151.493333,750,6768.931026,1970.11,3399.54,3867.94
RD024,6100,4000,1625,3272.15625,3857.236667,885.4166667,708.48,4684.43,906.08
RD025,5400,4000,1000,3722.952995,3390.666667,3925,2328.08,1435.19,292.41
RD026,4332,4000,999,1390.266268,5082.5,2785.32,2056.3,1420.59,3443.8
RD027,2950,5000,0,765.5633333,1633.333333,1420.229113,2040.47,1950,4165.13
RD028,2496,5000,2001,2695,1867.45,2797.5,5500,2416.12,464.02
RD029,1800,4000,333,323.16,750,3479.275,597.89,3022.86,8073.11
RD030,6650,3000,0,11471.25,1453.493333,2160,6325,1689.93,1750
RD031,3996,4000,333,1192.5,1080,11744.99275,503.67,2847.17,5509.88
RD032,1800,6500,834,885.8791069,1076.75,579.49,1169.61,1975,2081.47
RD033,3163,4000,0,351.5625938,1852.5,745.8333333,4175,916.66,559.99
RD034,3992,3000,0,6728.6,1400.453333,1200,5833.49,664.57,529.75
RD035,2019,3000,0,391.875,1247.633333,2313.75,689.49,837.63,1556.68
RD036,2496,6500,666,1959.375,2025,992.620578,686.79,2416.8,5365.35
RD037,3750,4000,666.6666667,0,0,1244.714832,8830.21,4289.54,936.62
RD038,2796,5000,0,1080,9596.116284,723.8333333,2231.29,5038.99,4145
RD039,2400,5000,417,4973.855583,5487.104167,7782.663333,2246.02,4950,2109.07
RD040,4680,5000,0,0,6185.121894,7126.625,3817.02,8070.07,6180
RD041,1800,4000,1666,886.6068053,1760.817136,6666.25,1504.77,499.53,3861
RD043,2124,4000,160000,1852.836667,3548.333333,500,2603.85,4085,3596.25
RD044,1800,3000,0,520.28,1649,1272.22979,1001.42,332.19,725.28
RD045,1800,3000,10667,7122.056667,2672.666667,2438.713333,3732.46,1478.54,1632.6
RD046,1424,4000,0,1333.333333,916.6666667,2841.816255,2281.03,249,4558.43
RD047,3350,4000,7167,8804.92,2160.491,6170.142559,14969.5,7363.95,4559.05
RD048,5210,4000,0,1333,0,2492.947666,154,4187.61,2212.69
RD049,3063,4000,0,2000,3845.828,10634.55078,431.22,11001.12,12363.68
RD050,1800,4000,666,7448.893333,1018.68,4070,4680,3270.4,2880.88
RD051,7400,3000,0,6646.750056,8360,2888.34,1435.61,4861.77,3943.28
RD052,2160,3000,1000,1010.013333,1092,0,876.56,0,2020.43
RD053,2304,3000,50000,3103.860169,11100.10679,7019.68,3236.78,5264,2084.56
RD054,1404,3000,1332,11562.27667,5668.333333,2154.533333,10328.53,578.11,3782.06
RD055,1104,4000,0,1175,533.3333333,7341.810462,1208.5,1384.26,8346.79
RD056,2400,6500,1000,506.6666667,2981.32,2860,1408.84,1495.93,6315
RD057,996,3000,0,1532.286667,1980,1435.585058,1417.32,329.74,2427.95
RD058,2220,4000,0,1759.893333,8603.109681,2645.563835,2922.19,8272.15,4140.14
RD059,3000,6000,97510,433.3333333,0,525.321172,2126.54,10549.48,2810.61
RD060,1800,4000,333.3333333,1027.083333,0,0,257.25,2269.27,1156.63
RD061,3000,4000,2001,1476.5,1892.499381,1048.888889,2189.51,1498.04,2155
RD062,1500,6500,667,1820.586753,1733.94,1146.806667,1844.64,2266.5,1706.54
RD063,2400,4000,667,10100,13124.7542,2612.36,10000,9766.26,20105.96
RD064,3937,4000,667,1399.979933,1646.647348,2073.906667,1170.61,1350,1076.75
RD065,1104,5000,0,2663.432735,2261,2225.676667,2009.49,1530.11,1403
RD066,10446,6000,541.6666667,7410,2295,2160,4550,1932.18,2255
RD067,20949,10000,10467,5462.001325,17559.95,996.78,2238.53,11521.64,2735.59
RD068,7827,6000,667,5175,33341.19002,6023.43,6733.4,16461.6,9921.83
RD069,10404,9000,0,435.9337689,2539.195162,2114.223333,1534.86,950,799.09
RD070,3694,6000,62041.66667,4035,854.8966667,2973.333333,1975,1517.59,1164.65
RD071,3300,6500,0,4560,2495,1980,2950,1463.8,784.28
RD072,8173,4000,0,17452.41699,3072.563333,1440.113333,7911.35,1838.5,1395.57
RD073,1502,5000,0,4904.762845,4285.555556,1935.596667,4392.64,1128.64,2112.49
RD074,3250,7000,1000,2903.333333,1546.5,3193.333333,8520,1180.25,6975
RD075,1200,5000,0,5817.126383,3567.777778,3997.44,3805.19,2015.59,1873.25
RD076,1704,5000,5000,2462.34,1000,9402.385426,2064.39,6636.69,8456.03
RD077,5000,5000,667,4331.093456,2014,1358.01,3294.73,445.6,1189.21
RD078,2700,4000,24500,7302.164093,6482.694167,1537.5,6341.29,1083.14,815
RD079,8900,8000,0,27312.05321,8055.208333,2511.976667,19536.12,10607.52,2900.8
RD080,2052,4000,0,1304.783491,6460,1556.25,3568.57,-599.56,637.51
RD081,3524,8000,333,2599.466667,8385.696494,1385,0,5740.3,6300
RD082,4484,8000,500,3515,2566.5,487.5,1772.76,659.87,3546.29
RD083,5484,8000,2570,1333.333333,18167.43977,2120.305556,475,12788.63,4100
RD084,8391,8000,667,0,1334.943615,2279.306667,1441.3,1000,692.1
RD085,15165,8000,0,8093.522638,6012.083333,3908.4,1241.1,3937.5,1487.43
RD086,1404,4000,1000,4000.177907,9009.566667,1383.333333,2620.59,920.06,667.76
RD087,1500,6000,8216.666667,1156.76762,1190.421729,3347.5625,2468.54,8836.34,1010.34
RD088,4485,6000,0,1074.314121,1585.62542,6721.25,3457.04,6295.8,1955.24
RD089,6684,4000,0,2194.123669,2422.5,2407.776667,1900.04,1522.28,667.39
RD090,3000,5000,0,0,5439.035707,3693.5,1204.54,841.46,828.62
RD091,3696,5500,541.6666667,1926.366141,5956.5,6015.95,1692.24,1663.94,2564.67
RD092,1092,5500,69,3553,1964.583333,627.0833333,912.75,487.97,996.26
RD093,1104,6000,500,978.7833333,2475,7326.827077,2208.74,1890,1932.79
RD094,2340,6500,2001,4435.763014,1885.75,3566.873333,3564.6,1670.53,1625.58
RD095,2688,8000,1000,637.4550439,3871.63202,5440.333333,4821.74,5565,1559.28
RD096,7397,5000,0,500,889.858575,1207.291667,1191,635,819.45
RD097,3600,5000,833,4757,973.0566667,2275,7015,1171,987.66
RD098,10244,6500,0,1782.455642,1025.733333,3086.666667,3120,1735.16,983.05
RD099,9924,5000,0,0,12205.10738,5335.335,3007.13,3254.84,1096.4
RD100,1848,4000,1334,2641.666667,473.3769137,3588.664916,1662.04,2171.6,2084.72
RD101,2196,4000,0,2780.75695,4085,2584.87,2624.42,641.27,1261.2
RD102,3374,4000,0,2656.248089,6127.5,2553.403333,5286.05,3185.28,1182.69
RD103,4920,5000,20667,2985.75,910.6233333,2442.5,4050,1617.68,53.7
RD104,5283,4000,0,4175.560748,3653.541667,1852.593333,4756.79,797.7,1156.08
RD105,8736,5000,95258,4308.333333,1560.03,1112.5,5250,1171.05,710
RD106,2580,8000,0,466.6666667,0,0,1514.06,4664.44,3963.56
RD107,4644,4000,667,1865.035885,1031.7,2283.33,733.85,540.43,1614.09
RD108,516,6000,416.6666667,981.3140733,4462.625,2405.94,1893.7,784.12,988.5
RD109,1800,4000,1334,41990.38892,13245.88667,1553.646667,19224.95,5185.38,2163.56
RD110,4498,8000,3000,7624.705715,4429.107129,7330.833333,28004.21,4508.89,4240.44
RD111,46630,10000,458.3333333,875,2231.617171,7410,1778.42,4254.84,6337.73
RD112,5385,6000,833,825,2871.349716,2567.83,535.95,1338,4164.99
RD113,2400,3000,1041,720,1968.536189,4248.083333,1544.07,3170,1469.01
RD114,2400,4000,291.6666667,7997.276667,2954.136667,1572.916667,8798.73,2996.92,7095
RD115,9384,10000,1083.333333,2160,5244.907818,5305,2600,3946.18,6800
RD116,9890,10000,3333,5432.375307,1596,2841.666667,2573.93,618.24,1619.66
RD117,12759,10000,875,528.0027406,3648,1816.666667,1489.69,2402.98,1909.12
RD118,7863,10000,333,666.6666667,-488.8552696,6042,1786.92,5300,2128.77
RD119,10617,10000,0,0,3630.086352,2033.666667,3167.02,2033.28,5170
RD120,4984,10000,1332,560.811325,2235.637933,562.4,6541.44,954.5,548.41
RD121,6575,10000,0,1736.306662,4938.2,3467.5,3745.84,4479.21,872.15
RD122,3000,3000,583.3333333,3827.890629,1898.416667,2743.51,2685.8,900.52,2581.4
RD123,2160,4000,0,7966.117404,5808.43,995.8333333,5295.75,887.38,723.75
RD124,5098,6000,0,1347.15,900,4059.597114,1569.71,405,6762.35
RD125,1582,8000,667,1620,4015.259148,4189.95,4839.83,1646.25,1672.5
RD126,1800,4000,667,16538.55938,10566.23,6080,26187.47,10535.23,1429.24
RD127,2400,4000,1334,2070,10291.74969,7786.2,11393.75,3112,4777.5
RD128,2796,4000,416.6666667,5776.208171,2814.375,3186.48,2896.84,1929.46,958.78
RD129,3600,6000,0,2505.346787,6488.875,944.29,2020.01,4810,1619.75
RD130,5082,4000,28350,11078.5,1462.5,425,6106.9,113.37,750.71
RD131,1664,6000,0,100,2419.864833,9500,5748.95,4750,5851
RD132,3400,4000,0,9571.517699,12540,1581.013333,4863.73,7226.83,1390.82
RD133,3546,8000,333,3864.170977,2168.333333,2650,9857.5,1820.53,1637.31
RD134,1800,5000,0,11419,1504.166667,666.6666667,1796.74,1052.55,1032.05
RD135,3000,4000,0,1080,23021.0148,12737.46667,6993.47,2350.06,5430.38
RD136,6232,8000,666.6666667,1835.06,175,0,712.52,644.79,5833.51
RD137,4198,4000,0,5674.19,550,0,951.7,179.68,4706.45
RD138,7439,8000,0,2746.937396,1735.993333,2754.206667,9778.74,980.91,1062.16
RD139,3389,8000,0,500,833.5979431,2033,2511.62,1410.11,762.5
RD140,1977,4000,0,1818.165797,1837.566667,3434.583333,2952.51,2771.84,890.46
RD141,3000,6000,1625,0,6020.886859,5942.322586,0,9149.76,8780.52
RD142,2004,4000,666,2533.333333,1247.996053,13372.43798,4569.32,2020.09,4096.21
RD143,8447,20000,1334,3359.005499,4446,3150,8880,736.45,2336.69
